=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
     |   A0|   A1|   A2|   A3|   A4|   A5|   A6|   A7|   A8|   A9|  A10|  A11|  A12|  A13|  A14|  A15|  A16|  A17|  A18|  A19|
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
   A0|    0|   -3|   -3|    3|   -1|    1|    3|   -1|   -1|    1|   -1|   -1|   -1|    1|    3|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A1|   -3|    0|    3|   -3|    1|   -1|   -3|    1|    1|   -1|    1|    1|    1|   -1|   -3|    1|   -1|    1|    1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A2|   -3|    3|    0|   -3|    1|   -1|   -3|    1|    1|   -1|    1|    1|    1|   -1|   -3|    1|   -1|    1|    1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A3|    3|   -3|   -3|    0|   -1|    1|    3|   -1|   -1|    1|   -1|   -1|   -1|    1|    3|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A4|   -1|    1|    1|   -1|    0|   -3|   -1|   -1|    3|    1|   -1|   -1|    3|   -3|   -1|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A5|    1|   -1|   -1|    1|   -3|    0|    1|    1|   -3|   -1|    1|    1|   -3|    3|    1|    1|   -1|    1|    1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A6|    3|   -3|   -3|    3|   -1|    1|    0|   -1|   -1|    1|   -1|   -1|   -1|    1|    3|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A7|   -1|    1|    1|   -1|   -1|    1|   -1|    0|   -1|    1|    3|    3|   -1|    1|   -1|    3|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A8|   -1|    1|    1|   -1|    3|   -3|   -1|   -1|    0|    1|   -1|   -1|    3|   -3|   -1|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   A9|    1|   -1|   -1|    1|    1|   -1|    1|    1|    1|    0|    1|    1|    1|   -1|    1|    1|    3|   -3|   -3|    3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A10|   -1|    1|    1|   -1|   -1|    1|   -1|    3|   -1|    1|    0|    3|   -1|    1|   -1|    3|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A11|   -1|    1|    1|   -1|   -1|    1|   -1|    3|   -1|    1|    3|    0|   -1|    1|   -1|    3|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A12|   -1|    1|    1|   -1|    3|   -3|   -1|   -1|    3|    1|   -1|   -1|    0|   -3|   -1|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A13|    1|   -1|   -1|    1|   -3|    3|    1|    1|   -3|   -1|    1|    1|   -3|    0|    1|    1|   -1|    1|    1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A14|    3|   -3|   -3|    3|   -1|    1|    3|   -1|   -1|    1|   -1|   -1|   -1|    1|    0|   -1|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A15|   -1|    1|    1|   -1|   -1|    1|   -1|    3|   -1|    1|    3|    3|   -1|    1|   -1|    0|    1|   -1|   -1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A16|    1|   -1|   -1|    1|    1|   -1|    1|    1|    1|    3|    1|    1|    1|   -1|    1|    1|    0|   -3|   -3|    3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  A17|   -1|    1|    1|   -1|   -1|    1|   -1|   -1|   -1|   -3|   -1|   -1|   -1|    1|   -1|   -1|   -3|    0|    3|   -3|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
